Name,Price,Brand
MT7-L10 - Ascend Mate 7 - 6.0 - 32 GB HDD - 3 GB - 13 MP Camera - Gold (Brand Warranty)," 49,500",Huawei
G730 - Ascend - Dual Sim - 5.5 - 4 GB - 1 GB RAM -  5 MP Camera - White (Brand Warranty)," 20,999",Huawei
Honor 3C Lite - Dual Sim - 5.0” - 16 GB - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 15,999",Huawei
G700 - Ascend - Dual Sim - 8 GB - 2 GB RAM - 8 MP Camera - White (Brand Warranty)," 18,280",Huawei
Y550 - Ascend - 4.5 - 4 GB - 1 GB RAM - 5 MP Camera - Black (Brand Warranty)," 14,999",Huawei
Y550 - Ascend - 4.5 - 4 GB - 1 GB RAM - 5 MP Camera - White (Brand Warranty)," 14,999",Huawei
H30-L02 - Honor 3C 4G - 5 - 8 GB - 1 GB RAM - 8 MP Camera - Black (Brand Warranty)," 28,999",Huawei
G700 - Ascend - Dual Sim - 8 GB - 2 GB RAM - 8 MP Camera - Black (Brand Warranty)," 25,999",Huawei
MT7-TL10 - Ascend Mate 7 - 6.0 - 16 GB - 3 GB RAM - 1.8 GHz Quad-core - 13 MP Camera - Black (Brand Warranty)," 49,000",Huawei
H30-L02 - Honor 3C 4G - 5 - 8 GB - 1 GB RAM - 8 MP Camera - Black (Brand Warranty)," 26,000",Huawei
G7-L03 - Ascend G7 - 5.5 - 16 GB - 2 GB RAM - 1.2 GHz Quad-core - 13 MP Camera - Black (Brand Warranty)," 29,999",Huawei
Y600 - Ascend - 5.0 - 4 GB - 512 MB RAM - 5 MP Camera - White (Brand Warranty)," 13,499",Huawei
Y600 - Ascend - 5.0 - 4 GB - 512 MB RAM - 5 MP Camera - Black (Brand Warranty)," 13,499",Huawei
Y520 - Ascend - 4.5 - 4 GB - 512 MB RAM - 1.3 GHz Dual-core - 5 MP Camera - White (Brand Warranty)," 9,800",Huawei
G510 - Ascend - Dual Sim - 4.5 - 4 GB - 512 MB RAM - 5 MP Camera - Black (Brand Warranty)," 14,999",Huawei
G510 - Ascend - Dual Sim - 4.5 - 4 GB - 512 MB RAM - 5 MP Camera - White (Brand Warranty)," 14,999",Huawei
G730 - Ascend - Dual Sim - 5.5 - 4 GB - 1 GB RAM -  5 MP Camera - Black (Brand Warranty)," 20,999",Huawei
Y330 - Ascend - 4 - 4GB - 512 MB RAM - 3.15 MP Camera - Black (Brand Warranty)," 8,999",Huawei
Y221 - Ascend - Dual Sim - 3.5 - 4 GB - 512 MB RAM - 2 MP Camera - White (Brand Warranty)," 7,599",Huawei
Y221 - Ascend - Dual Sim - 3.5 - 4 GB - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 7,599",Huawei
G610 - Ascend - 5 - 4 GB - 1 GB RAM - 5 MP Camera - Black (Brand Warranty)," 13,800",Huawei
H30-L02 - Honor 3C 4G - 5 - 8 GB - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 28,999",Huawei
G610 - Ascend - 5 - 4 GB - 1 GB RAM - 5 MP Camera - Black (Brand Warranty)," 15,999",Huawei
Y550 - Ascend - 4.5 - 4 GB - 1 GB RAM - 5 MP Camera - White (Brand Warranty)," 13,500",Huawei
Y550 - Ascend - 4.5 - 4 GB - 1 GB RAM - 5 MP Camera - Black (Brand Warranty)," 13,500",Huawei
Ascend G630 - 5 - 4 GB - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 17,999",Huawei
Honor 3C Lite - Dual Sim - 5.0” - 16 GB - 1 GB RAM - 8 MP Camera - Black (Brand Warranty)," 15,999",Huawei
G750 - Honor 3X - Dual Sim - 5.5 - 16 GB - 2 GB RAM - 13 MP Camera - Black (Brand Warranty)," 31,999",Huawei
Y511 - Ascend - Dual Sim - 4.5 - 4 GB -  512 MB RAM - 3.15 MP Camera - White (Brand Warranty)," 12,299",Huawei
H60-L04 - Honor 6 - 5 - 16 GB HDD - 3 GB RAM - 13 MP Camera - White (Brand Warranty)," 36,499",Huawei
Ascend P6 - Dual Sim - 4.7 - 8 GB - 2 GB RAM - 8 MP Camera - White (Brand Warranty)," 36,500",Huawei
G630 - Ascend - 5.0 - 8 GB - 1 GB RAM - 1.2 GHz Quad-core - 8 MP Camera - Black (Brand Warranty)," 17,999",Huawei
H60-L04 - Honor 6 Dual Sim - 5.0 - 16 GB - 3 GB RAM - 13 MP Camera - Black (Brand Warranty)," 36,499",Huawei
