id,fielders,kind,player_out,odi_no,check
1062,745,caught,589,3598,0
1063,745,caught,1346,3598,0
1064,213,caught,2102,3598,0
1065,1349,caught,525,3598,0
1066,230,caught,1289,3598,0
1067,1349,caught,1186,3598,0
1068,1346,caught,1251,3598,0
1069,,bowled,735,3598,0
1070,981,caught,745,3598,0
1071,981,caught,213,3598,0
1072,209,caught,832,3598,0
1073,1041,caught,1182,3598,0
1074,2102,caught,1795,3598,0
1075,,bowled,1186,3596,0
1076,2102,caught,525,3596,0
1077,,lbw,1289,3596,0
1078,209,caught,745,3596,0
1079,,bowled,735,3596,0
1080,1061,caught,213,3596,0
1081,1061,caught,1182,3596,0
1082,209,caught,832,3596,0
1083,209,caught,1251,3596,0
1084,981,caught,1795,3596,0
1085,525,caught,981,3596,0
1086,213,caught,1061,3596,0
1087,832,caught,209,3596,0
1088,,lbw,670,3594,0
1089,2102,caught,1478,3594,0
1090,2102,caught,1517,3594,0
1091,,lbw,557,3594,0
1092,2102,caught,662,3594,0
1093,982,caught,236,3594,0
1094,,lbw,209,3594,0
1095,,bowled,1061,3594,0
1096,,bowled,1041,3594,0
1097,662,caught,1346,3594,0
1098,1517,caught,589,3594,0
1099,1589,caught,588,3594,0
1100,,bowled,2102,3594,0
1101,,bowled,1044,3594,0
1102,1589,caught,230,3594,0
1103,1532,1589,run out,982,3594,0
1104,236,caught,981,3590,0
1105,1589,caught,209,3590,0
1106,1567,1589,run out,589,3590,0
1107,236,caught,588,3590,0
1108,,lbw,1041,3590,0
1109,216,caught,2102,3590,0
1110,1589,1567,run out,1044,3590,0
1111,216,1567,run out,982,3590,0
1112,2102,caught,1478,3590,0
1113,2102,caught,670,3590,0
1114,981,caught,1517,3590,0
1115,982,caught,216,3590,0
1116,981,2102,run out,662,3590,0
1117,588,1044,2102,run out,1549,3590,0
1118,,lbw,236,3590,0
1119,1044,caught,1589,3590,0
1120,982,run out,1567,3590,0
1121,209,caught,1537,3590,0
1122,1589,caught,209,3588,0
1123,,lbw,981,3588,0
1124,1589,caught,589,3588,0
1125,216,caught,1041,3588,0
